longitude, latitude, name, website, address, description
-84.174137,37.995646,"Abettor Brewing",https://abettorbeer.com/,"128 N Highland St, Winchester, KY","Abettor Brewing, situated in Winchester, KY, prioritizes sourcing the majority of their hops from local suppliers. The brewery offers ample outdoor seating, creating an ideal setting to enjoy live music or indulge in delicious bites from the food trucks that regularly visit the premises."
-84.50126,38.05717,"Blue Stallion Brewing",https://www.bluestallionbrewing.com/,"610 West 3rd Street, Lexington, KY","Blue Stallion Brewery focuses on producing exceptional European-style lagers and ales. Their taproom features a rotating selection of their own brews, as well as local and regional beers. Additionally, located within the brewery is Salt & Vinegar, a chef-owned and operated scratch kitchen that specializes in German and American Southern cuisine."
-84.48168,38.05334,"Brewer Dude",https://www.brewerdude.com/,"211 E Seventh St, Lexington, KY","Brewer Dude operates as a nano-brewery, led by a skilled team of brewers. Here, you can savor exceptional and distinctive beers while also having the opportunity to create your own homebrew batch by assembling a brewing kit."
-84.50922,38.04394,"Country Boy Brewing",https://countryboybrewing.com/,"436 Chair Avenue, Lexington, KY 40508","Country Boy Brewing takes pride in using high-quality ingredients and employing minimal processing techniques in their beer production. They even incorporate local produce into their brews on occasion. In their taproom, you can find a wide selection of fresh Country Boy beers alongside a diverse range of local and national craft beers."
-84.51974,38.05652,"Ethereal Brewing",https://www.etherealbrew.com/,"1224 Manchester Street, Lexington, KY","Ethereal Brewery, situated in Lexington's Historic Distillery District, dedicates itself to the pursuit of excellence in Belgian farmhouse and American craft beers. Embracing the philosophy of uncompromising quality, they spare no expense when it comes to ingredients and their brewing process. At Ethereal, you can anticipate a diverse selection of brews that include traditional craft favorites such as IPAs, Saisons, and Witbiers, as well as more adventurous and innovative creations that explore the unconventional and 'funkier side of farmhouse brewing.'"
-84.5272,37.99457,"Goodwood Lexington",https://goodwoodbrewing.com/lexington/,"200 Lexington Green Cir, Lexington, KY","Renowned for their exceptional barrel-aged beers and ever-changing selection of drafts sourced from various brewers, this eatery offers a delectable menu of Southern classics that perfectly complement their beers."
-84.50953,38.04977,"Lexington Brewing and Distilling Co.",https://lexingtonbrewingco.com/,"401 Cross Street, Lexington, KY","Lexington Brewing & Distilling Co., founded in 1999 by Irish entrepreneur Pearse Lyons, stands as a distinguished producer of acclaimed beers and spirits. It holds the distinction of being one of the rare establishments worldwide that combines brewing and distilling operations. Among its repertoire, the brewery's flagship brew, Kentucky Bourbon Barrel Ale®, has flourished, benefiting from its close proximity to freshly used Kentucky bourbon barrels."
-84.4785,38.04047,"Mirror Twin Brewing",https://mirrortwinbrewing.com/,"725 National Avenue, Lexington, KY","Mirror Twin Brewing derives its name from a dual significance. Firstly, one of the owners is a mirror twin, lending a personal touch to the brewery's identity. Secondly, the brewery's philosophy revolves around embracing the 'duality of beer.' This is exemplified by their practice of constantly offering twin drafts on tap, where the grain recipes are identical with only a subtle variation. Drawing inspiration from beloved brewing techniques in Lexington and beyond, Mirror Twin Brewing infuses their beers with a touch of familiarity and innovation."
-84.47876,38.04009,"Myriad Meadery",https://www.myriadmeadery.com/,"730 National Avenue, Lexington, KY","Myriad Meadery, the inaugural meadery in Lexington, specializes in crafting delightful meads and cocktails using locally sourced honey. To experience their exquisite creations, be sure to visit their Warehouse Block taproom, where you can savor their unique and flavorful beverages."
-84.46887,38.03696,"Pivot Brewing",https://www.pivotbrewingcompany.com/,"1400 Delaware Avenue, Lexington, KY","Distinguished as the sole cidery in the state, this brewery sets itself apart by pressing apples on-site. It boasts a diverse selection of ciders and beers that can be savored in their inviting tap room. Among their offerings, two standout flagship ciders, namely Kentucky Sunrise and Earnest, are meticulously crafted using apples procured from Eckert's Orchard in Versailles, Kentucky."
-84.481605,38.05589,"Rock House Brewing",https://rockhousebrewing.com/,"119 Luigart Court, Lexington, KY","Rock House, an establishment born from a collective of eclectic home brewers, stands as a purveyor of exceptional brews within a warm and inviting setting. Situated in the vibrant NOLI district, this microbrewery and taproom exudes a passion for both community and music, creating a space where individuals can come together to enjoy high-quality beverages in a lively atmosphere."
-84.47398,38.03826,"The Void Sake Company",https://www.thevoidsake.com/,"949 National Ave, Lexington, KY","Inspired by a love for Japanese culture and the American craft beer industry, The Void Sake Company joins a small list of craft sake companies in the United States and the first in Kentucky. Sample their lovingly crafted sake at the tap room or pick up a bottle to take with you."
-84.491965,38.05967,"West Sixth Brewery",https://www.westsixth.com/,"501 West Sixth Street, Lexington, KY","Established in 2012 as one of the pioneering craft breweries in the city, West Sixth Brewery finds its home in a century-old building known as the Breadbox, originally the Rainbo Bread Factory. Within the brewery's taproom, you'll discover a rotating selection of fresh brews, while the inviting beer garden provides the perfect setting to relax, engage in conversation, and savor a pint or flight of their offerings. Visitors have the opportunity to take guided tours of the facility and production system, gaining insight into the brewing process."
-84.51764,38.05584,"Wise Bird Cider Co.",https://www.wisebirdcider.com/,"1170 Manchester Street, Lexington, KY","Wise Bird Cider stands as a family-operated enterprise dedicated to the art of creating small-batch heritage ciders that pay homage to cherished family customs. With a steadfast focus on excellence, Wise Bird places paramount importance on using top-quality apples in the production of their ciders, striving to source locally whenever feasible. The result is a collection of ciders that not only reflect the essence of tradition but also showcase the rich flavors derived from carefully selected apples."
-84.51282,38.26666,"Country Boy Georgetown Taproom and kitchen",https://countryboybrewing.com/now-pouring-georgetown/,"108 Corporate Boulevard, Georgetown, KY","Country Boy Brewing expanded its presence by opening a second location in Georgetown. The new taproom features a spacious tasting room where visitors can indulge in a selection of up to 24 distinct beers on tap. Additionally, the taproom includes a kitchen serving Kentucky pub favorites such as beer cheese and pretzels, as well as burgers and fries."
-84.87513,38.19751,"Goodwood Brewpub Frankfort",https://goodwoodbrewing.com/frankfort/,"109 W Main St., Frankfort, KY","Goodwood Brewpub Frankfort is situated in the heart of downtown Frankfort with a scenic view of the Kentucky River."
